Frequency (Hz),Amplitude
0.0,1.2701673762307664
0.04,1.2700435040656828
0.08,1.2696723138035249
0.12,1.2690550834254397
0.16,1.2681939404997844
0.19999999999999998,1.2670918585597364
0.24,1.2657526519876934
0.27999999999999997,1.264180969362526
0.32,1.2623822852132753
0.36,1.2603628901108344
0.39999999999999997,1.258129879017326
0.44,1.2556911378014906
0.48,1.2530553278175562
0.52,1.25023186843491
0.5599999999999999,1.2472309173966825
0.6,1.2440633488772619
0.64,1.2407407291021024
0.6799999999999999,1.2372752893882613
0.72,1.2336798964612183
0.76,1.2299680199032215
0.7999999999999999,1.2261536965907849
0.84,1.2222514919849565
0.88,1.2182764581474763
0.9199999999999999,1.214244088369936
0.96,1.2101702683216566
1.0,1.2060712236457878
1.04,1.201963463962428
1.0799999999999998,1.1978637232727105
1.1199999999999999,1.1937888967988786
1.1600000000000001,1.1897559743425499
1.2,1.1857819702963366
1.24,1.1818838505026312
1.28,1.1780784562167699
1.3199999999999998,1.1743824254994788
1.3599999999999999,1.1708121124340167
1.4,1.167383504635574
1.44,1.1641121395924452
1.48,1.161013020448397
1.52,1.1581005319013085
1.5599999999999998,1.155388356952214
1.5999999999999999,1.1528893952891068
1.64,1.1506156841286566
1.68,1.1485783223643888
1.72,1.1467873988796786
1.76,1.1452519258765943
1.7999999999999998,1.1439797780460432
1.8399999999999999,1.142977638360251
1.88,1.142250951205348
1.92,1.1418038834906508
1.9599999999999997,1.1416392942734512
2.0,1.1417587133260496
2.0399999999999996,1.1421623289480503
2.08,1.1428489851949246
2.12,1.1438161885571907
2.1599999999999997,1.1450601239870244
2.2,1.1465756800347322
2.2399999999999998,1.148356482729916
2.28,1.150394937724779
2.3200000000000003,1.1526822801130083
2.36,1.1552086312491172
2.4,1.1579630618221952
2.44,1.1609336603852816
2.48,1.1641076065079485
2.5199999999999996,1.1674712477042002
2.56,1.171010179290207
2.6,1.1747093263446682
2.6399999999999997,1.1785530269773785
2.68,1.1825251161562982
2.7199999999999998,1.1866090093983048
2.76,1.190787785690802
2.8,1.1950442690788987
2.84,1.199361108423111
2.88,1.2037208549038272
2.92,1.2081060369192502
2.96,1.2124992320915868
2.9999999999999996,1.2168831361607932
3.04,1.221240628605147
3.08,1.2255548348826815
3.1199999999999997,1.2298091852366153
3.16,1.2339874700510869
3.1999999999999997,1.238073891780825
3.2399999999999998,1.2420531135098367
3.28,1.245910304220089
3.32,1.2496311808718834
3.36,1.2532020474134167
3.4,1.2566098308484734
3.44,1.2598421144986953
3.4799999999999995,1.2628871686008394
3.52,1.2657339783804173
3.5599999999999996,1.2683722697413655
3.5999999999999996,1.2707925327075236
3.64,1.272986042745799
3.6799999999999997,1.2749448800935579
3.7199999999999998,1.2766619472040106
3.76,1.2781309844136186
3.7999999999999994,1.2793465839248717
3.84,1.2803042021864224
3.88,1.2810001707406307
3.9199999999999995,1.2814317055961097
3.96,1.2815969151700695
4.0,1.2814948068320329
4.04,1.281125292067012
4.079999999999999,1.280489190262425
4.12,1.2795882311089788
4.16,1.2784250555913566
4.199999999999999,1.2770032155300104
4.24,1.275327171620436
4.28,1.2734022899013144
4.319999999999999,1.2712348365676138
4.36,1.2688319710294227
4.4,1.2662017371018388
4.4399999999999995,1.2633530521960359
4.4799999999999995,1.2602956943664458
4.5200000000000005,1.257040287054527
4.56,1.2535982813555844
4.6,1.2499819356222832
4.640000000000001,1.246204292206957
4.68,1.242279151135202
4.72,1.2382210404957836
4.76,1.2340451833275674
4.8,1.2297674607831868
4.84,1.2254043713525018
4.88,1.2209729859372662
4.92,1.21649089858242
4.96,1.2119761726900657
5.0,1.2074472825701439
5.039999999999999,1.2029230502176866
5.08,1.198422577251198
5.12,1.1939651720002766
5.159999999999999,1.189570271793731
5.2,1.1852573605716739
5.24,1.1810458820266154
5.279999999999999,1.1769551485681604
